Species,Scientific Family
Redpoll,Fringillidae
Sparrowhawk,Accipitridae
Sedge Warbler,Acrocephalidae
Reed Warbler,Acrocephalidae
Common Sandpiper,Scolopacidae
Long-tailed Tit,Aegithalidae
Mandarin Duck,Anatidae
Skylark,Alaudidae
Razorbill,Alcidae
Kingfisher,Alcedinidae
Red-legged Partridge,Phasianidae
Little Auk,Alcidae
Teal,Anatidae
Mallard,Anatidae
Greylag Goose,Anatidae
Pink-footed Goose,Anatidae
Rock Pipit,Motacillidae
Meadow Pipit,Motacillidae
Water Pipit,Motacillidae
Tree Pipit,Motacillidae
Swift,Apodidae
Golden Eagle,Accipitridae
Great White Egret,Ardeidae
Grey Heron,Ardeidae
Turnstone,Scolopacidae
Short-eared Owl,Strigidae
Long-eared Owl,Strigidae
Little Owl,Strigidae
Pochard,Anatidae
Tufted Duck,Anatidae
Scaup,Anatidae
Waxwing,Bombycillidae
Bittern,Ardeidae
Brent Goose,Anatidae
Canada Goose,Anatidae
Barnacle Goose,Anatidae
Goldeneye,Anatidae
Buzzard,Accipitridae
Rough-legged Buzzard,Accipitridae
Lapland Bunting,Calcariidae
Sanderling,Scolopacidae
Dunlin,Scolopacidae
Knot,Scolopacidae
Curlew Sandpiper,Scolopacidae
Purple Sandpiper,Scolopacidae
Little Stint,Scolopacidae
Ruff,Scolopacidae
Temminck's Stint,Scolopacidae
Nightjar,Caprimulgidae
Goldfinch,Fringillidae
Black Guillemot,Alcidae
Treecreeper,Certhiidae
Cetti's Warbler,Cettiidae
Ringed Plover,Charadriidae
Black Tern,Laridae
Greenfinch,Fringillidae
Black-headed Gull,Laridae
Dipper,Cinclidae
Marsh Harrier,Accipitridae
Hen Harrier,Accipitridae
Montagu's Harrier,Accipitridae
Long-tailed Duck,Anatidae
Hawfinch,Fringillidae
Jackdaw,Corvidae
Rock Dove,Columbidae
Stock Dove,Columbidae
Woodpigeon,Columbidae
Raven,Corvidae
Hooded Crow,Corvidae
Rook,Corvidae
Corncrake,Rallidae
Cuckoo,Cuculidae
Whitethroat,Sylviidae
Lesser Whitethroat,Sylviidae
Blue Tit,Paridae
Bewick's Swan,Anatidae
Whooper Swan,Anatidae
Mute Swan,Anatidae
House Martin,Hirundinidae
Great Spotted Woodpecker,Picidae
Lesser Spotted Woodpecker,Picidae
Little Egret,Ardeidae
Corn Bunting,Emberizidae
Cirl Bunting,Emberizidae
Yellowhammer,Emberizidae
Reed Bunting,Emberizidae
Robin,Muscicapidae
Merlin,Falconidae
Peregrine,Falconidae
Hobby,Falconidae
Kestrel,Falconidae
Pied Flycatcher,Muscicapidae
Puffin,Alcidae
Chaffinch,Fringillidae
Brambling,Fringillidae
Coot,Rallidae
Fulmar,Procellariidae
Snipe,Scolopacidae
Moorhen,Rallidae
Jay,Corvidae
Black-throated Diver,Gaviidae
Great Northern Diver,Gaviidae
Red-throated Diver,Gaviidae
Shag,Phalacrocoracidae
Oystercatcher,Haematopodidae
White-tailed Eagle,Accipitridae
Icterine Warbler,Acrocephalidae
Swallow,Hirundinidae
Storm Petrel,Hydrobatidae
Mediterranean Gull,Laridae
Red Grouse,Phasianidae
Ptarmigan,Phasianidae
Red-backed Shrike,Laniidae
Great Grey Shrike,Laniidae
Herring Gull,Laridae
Common Gull,Laridae
Lesser Black-backed Gull,Laridae
Great Black-backed Gull,Laridae
Bar-tailed Godwit,Scolopacidae
Black-tailed Godwit,Scolopacidae
Linnet,Fringillidae
Twite,Fringillidae
Grasshopper Warbler,Locustellidae
Crested Tit,Paridae
Crossbill,Fringillidae
Scottish Crossbill,Fringillidae
Woodlark,Alaudidae
Jack Snipe,Scolopacidae
Black Grouse,Phasianidae
Wigeon,Anatidae
Gadwall,Anatidae
Common Scoter,Anatidae
Goosander,Anatidae
Red-breasted Merganser,Anatidae
Bee-eater,Meropidae
Black Kite,Accipitridae
Red Kite,Accipitridae
Gannet,Sulidae
Pied Wagtail,Motacillidae
Grey Wagtail,Motacillidae
Yellow Wagtail,Motacillidae
Spotted Flycatcher,Muscicapidae
Red-crested Pochard,Anatidae
Nutcracker,Corvidae
Curlew,Scolopacidae
Whimbrel,Scolopacidae
Wheatear,Muscicapidae
Ruddy Duck,Anatidae
Osprey,Pandionidae
Great Tit,Paridae
House Sparrow,Passeridae
Tree Sparrow,Passeridae
Grey Partridge,Phasianidae
Coal Tit,Paridae
Cormorant,Phalacrocoracidae
Red-necked Phalarope,Scolopacidae
Pheasant,Phasianidae
Black Redstart,Muscicapidae
Redstart,Muscicapidae
Chiffchaff,Phylloscopidae
Wood Warbler,Phylloscopidae
Willow Warbler,Phylloscopidae
Magpie,Corvidae
Green Woodpecker,Picidae
Snow Bunting,Calcariidae
Golden Plover,Charadriidae
Grey Plover,Charadriidae
Slavonian Grebe,Podicipedidae
Great Crested Grebe,Podicipedidae
Red-necked Grebe,Podicipedidae
Black-necked Grebe,Podicipedidae
Willow Tit,Paridae
Marsh Tit,Paridae
Dunnock,Prunellidae
Ring-necked Parakeet,Psittaculidae
Manx Shearwater,Procellariidae
Chough,Corvidae
Bullfinch,Fringillidae
Water Rail,Rallidae
Avocet,Recurvirostridae
Firecrest,Regulidae
Goldcrest,Regulidae
Sand Martin,Hirundinidae
Kittiwake,Laridae
Whinchat,Muscicapidae
Stonechat,Muscicapidae
Woodcock,Scolopacidae
Nuthatch,Sittidae
Eider,Anatidae
Shoveler,Anatidae
Siskin,Fringillidae
Arctic Skua,Stercorariidae
Great Skua,Stercorariidae
Common Tern,Laridae
Arctic Tern,Laridae
Little Tern,Laridae
Collared Dove,Columbidae
Turtle Dove,Columbidae
Tawny Owl,Strigidae
Starling,Sturnidae
Blackcap,Sylviidae
Garden Warbler,Sylviidae
Little Grebe,Podicipedidae
Shelduck,Anatidae
Capercaillie,Phasianidae
Sandwich Tern,Laridae
Spotted Redshank,Scolopacidae
Wood Sandpiper,Scolopacidae
Greenshank,Scolopacidae
Green Sandpiper,Scolopacidae
Redshank,Scolopacidae
Wren,Troglodytidae
Blackbird,Turdidae
Song Thrush,Turdidae
Fieldfare,Turdidae
Ring Ouzel,Turdidae
Mistle Thrush,Turdidae
Barn Owl,Tytonidae
Hoopoe,Upupidae
Guillemot,Alcidae
Lapwing,Charadriidae
